scenario_name	domain	implementation	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat0-3ag	matrix	p2p-relay-stream	3	20	0	0	61	3	39	77	1	1	72	0	78	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	p2p-relay-stream	3	20	1024	0	70	3	45	88	1	1	72	0	90	5	5	0	true	
matrix-lat0-3ag-4096b	matrix	p2p-relay-stream	3	20	4096	0	66	3	41	79	1	2	72	0	82	5	5	0	true	
matrix-lat0-3ag-10240b	matrix	p2p-relay-stream	3	20	10240	0	66	2	41	78	2	3	72	0	82	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	5	20	0	0	76	3	75	300	1	2	77	0	300	5	5	0	true	
matrix-lat0-5ag-1024b	matrix	p2p-relay-stream	5	20	1024	0	76	3	75	297	2	3	77	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	5	20	4096	0	77	3	75	300	3	6	81	0	300	5	5	0	true	
matrix-lat0-5ag-10240b	matrix	p2p-relay-stream	5	20	10240	0	80	3	75	295	5	7	83	1	300	5	5	0	true	
matrix-lat0-10ag	matrix	p2p-relay-stream	10	20	0	0	89	3	120	1066	9	14	106	1	1080	5	5	0	true	
matrix-lat0-10ag-1024b	matrix	p2p-relay-stream	10	20	1024	0	120	3	150	1300	21	29	123	0	1350	5	5	0	true	
matrix-lat0-10ag-4096b	matrix	p2p-relay-stream	10	20	4096	0	154	4	155	1320	33	46	158	1	1395	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	10	20	10240	0	204	8	185	1178	50	83	272	36	1665	5	5	0	true	
matrix-lat0-20ag	matrix	p2p-relay-stream	20	20	0	0	4817	200	5189	18904	1612	4047	8624	350188	98220	5	4	1	false	
matrix-lat0-20ag-1024b	matrix	p2p-relay-stream	20	20	1024	0	8746	200	11874	17025	4694	8835	15638	5371686	149075	5	5	0	true	
matrix-lat0-20ag-4096b	matrix	p2p-relay-stream	20	20	4096	0	10099	200	13997	11979	5137	9531	18077	3200976	142082	5	5	0	true	
matrix-lat0-20ag-10240b	matrix	p2p-relay-stream	20	20	10240	0	15174	200	17180	11525	7550	11043	20556	4057136	154623	5	5	0	true	
matrix-lat0-30ag	matrix	p2p-relay-stream	30	20	0	0	13886	200	9952	20319	6240	13478	26606	37151422	283346	5	3	2	false	
matrix-lat0-30ag-1024b	matrix	p2p-relay-stream	30	20	1024	0	31272	200	24476	51772	21506	55370	91896	37752313	381951	5	4	1	false	
matrix-lat0-30ag-4096b	matrix	p2p-relay-stream	30	20	4096	0	26999	200	26628	37417	12892	19875	45294	17977663	286354	5	5	0	true	
matrix-lat0-30ag-10240b	matrix	p2p-relay-stream	30	20	10240	0	28168	200	29536	25661	14918	21627	42138	15789080	253803	5	5	0	true	
matrix-lat0-3ag	matrix	slim-group-session	3	20	0	0	155	3	30	53	34	55	228	0	30	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	slim-group-session	3	20	1024	0	145	3	31	57	31	41	209	0	31	5	5	0	true	
matrix-lat0-3ag-4096b	matrix	slim-group-session	3	20	4096	0	164	3	33	61	31	58	210	0	33	5	5	0	true	
matrix-lat0-3ag-10240b	matrix	slim-group-session	3	20	10240	0	172	3	31	55	29	58	209	0	31	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	5	20	0	0	231	3	62	227	50	76	308	0	62	5	5	0	true	
matrix-lat0-5ag-1024b	matrix	slim-group-session	5	20	1024	0	198	3	63	222	49	82	228	0	63	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	5	20	4096	0	206	3	57	191	49	86	248	0	57	5	5	0	true	
matrix-lat0-5ag-10240b	matrix	slim-group-session	5	20	10240	0	203	3	64	216	33	46	234	0	64	5	5	0	true	
matrix-lat0-10ag	matrix	slim-group-session	10	20	0	0	224	3	99	749	50	89	258	0	99	5	5	0	true	
matrix-lat0-10ag-1024b	matrix	slim-group-session	10	20	1024	0	244	3	119	958	49	88	280	0	119	5	5	0	true	
matrix-lat0-10ag-4096b	matrix	slim-group-session	10	20	4096	0	252	4	112	908	55	130	296	0	112	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	10	20	10240	0	328	5	138	1148	66	178	423	0	138	5	5	0	true	
matrix-lat0-20ag	matrix	slim-group-session	20	20	0	0	319	4	243	4232	60	120	409	0	243	5	5	0	true	
matrix-lat0-20ag-1024b	matrix	slim-group-session	20	20	1024	0	323	4	258	4425	71	141	361	0	258	5	5	0	true	
matrix-lat0-20ag-4096b	matrix	slim-group-session	20	20	4096	0	354	4	241	4243	75	214	418	0	241	5	5	0	true	
matrix-lat0-20ag-10240b	matrix	slim-group-session	20	20	10240	0	309	4	244	4382	39	80	581	0	244	5	5	0	true	
matrix-lat0-30ag	matrix	slim-group-session	30	20	0	0	281	3	308	8007	66	129	363	0	308	5	5	0	true	
matrix-lat0-30ag-1024b	matrix	slim-group-session	30	20	1024	0	296	3	327	8502	64	98	403	0	327	5	5	0	true	
matrix-lat0-30ag-4096b	matrix	slim-group-session	30	20	4096	0	320	5	312	8420	64	203	598	0	312	5	5	0	true	
matrix-lat0-30ag-10240b	matrix	slim-group-session	30	20	10240	0	424	6	449	12518	97	195	594	0	449	5	5	0	true	
