scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	1	10	20	10240	0	204	11	219	1207	53	98	291	33	1980	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	1	10	20	10240	0	229	4	120	952	42	91	289	0	120	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	2	10	20	10240	0	198	7	171	1151	46	78	290	49	1539	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	2	10	20	10240	0	370	6	136	1172	79	239	530	0	136	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	3	10	20	10240	0	216	7	204	1227	54	92	284	35	1836	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	3	10	20	10240	0	338	5	140	1134	70	177	422	0	140	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	4	10	20	10240	0	238	9	225	1369	63	104	305	88	2025	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	4	10	20	10240	0	275	4	132	1037	53	165	368	0	132	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	5	10	20	10240	0	212	6	214	1207	54	91	297	32	1926	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	5	10	20	10240	0	293	4	142	1174	59	148	345	0	142	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	6	10	20	10240	0	271	10	238	1276	74	159	435	11	2142	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	6	10	20	10240	0	299	5	129	1071	65	177	416	0	129	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	7	10	20	10240	0	198	7	172	1127	48	79	278	2	1548	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	7	10	20	10240	0	273	4	140	1135	45	126	302	0	140	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	8	10	20	10240	0	209	6	214	1183	50	72	267	35	1926	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	8	10	20	10240	0	284	4	121	968	67	153	363	0	121	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	9	10	20	10240	0	191	7	227	1090	50	80	248	21	2043	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	9	10	20	10240	0	265	4	132	1067	50	109	313	0	132	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	10	10	20	10240	0	200	7	179	1289	50	67	240	101	1611	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	10	10	20	10240	0	306	5	131	1093	63	141	387	0	131	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	11	10	20	10240	0	206	9	178	1290	52	80	275	12	1602	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	11	10	20	10240	0	292	4	135	1113	61	171	371	0	135	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	12	10	20	10240	0	364	17	319	1510	105	194	509	295	2880	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	12	10	20	10240	0	267	4	135	1013	42	71	328	0	135	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	13	10	20	10240	0	211	7	186	1204	53	81	258	10	1674	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	13	10	20	10240	0	281	5	141	1130	46	84	369	0	141	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	14	10	20	10240	0	262	10	215	1367	65	123	409	2	1935	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	14	10	20	10240	0	268	5	126	1029	55	118	388	0	126	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	15	10	20	10240	0	201	8	190	1212	50	74	265	60	1719	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	15	10	20	10240	0	274	4	123	946	50	79	302	0	123	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	16	10	20	10240	0	170	6	170	1030	37	55	194	24	1539	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	16	10	20	10240	0	249	4	127	1020	52	117	323	0	127	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	17	10	20	10240	0	184	4	169	1100	45	60	235	9	1539	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	slim-group-session	17	10	20	10240	0	227	4	122	985	39	111	256	0	122	5	5	0	true	
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	18	10	20	10240	0	204	6	178	1230	50	76	269	1	1602	5	5	0	true	
