scenario_name	domain	implementation	agents	think_time_ms	payload_bytes	latency_ms	run_count	success_count	consensus_wall_mean	consensus_wall_variance	consensus_wall_stddev	consensus_wall_ci_low	consensus_wall_ci_high	consensus_wall_n	findings_emitted_mean	findings_emitted_variance	findings_emitted_stddev	findings_emitted_ci_low	findings_emitted_ci_high	findings_emitted_n	findings_received_mean	findings_received_variance	findings_received_stddev	findings_received_ci_low	findings_received_ci_high	findings_received_n	avg_propagation_mean	avg_propagation_variance	avg_propagation_stddev	avg_propagation_ci_low	avg_propagation_ci_high	avg_propagation_n	p95_propagation_mean	p95_propagation_variance	p95_propagation_stddev	p95_propagation_ci_low	p95_propagation_ci_high	p95_propagation_n
matrix-lat0-3ag	matrix	p2p-relay-stream	3	20	0	0	2	2	61	0	0	61	61	2	37.5	4.5	2.1213203435596424	18.440692895737946	56.55930710426203	2	74.5	24.5	4.949747468305833	30.028283423388537	118.97171657661141	2	1	0	0	1	1	2	1	0	0	1	1	2
matrix-lat0-3ag	matrix	slim-group-session	3	20	0	0	2	2	149	1458	38.18376618407357	0	492.06752787671667	2	30.5	12.5	3.5355339059327378	0	62.26551184043673	2	52	32	5.656854249492381	1.1751810553011808	102.82481894469876	2	30.5	144.5	12.020815280171307	0	138.50274025748485	2	55	392	19.79898987322333	0	232.88686630644568	2
matrix-lat0-3ag-1024b	matrix	p2p-relay-stream	3	20	1024	0	2	2	51	32	5.656854249492381	0.17518105530118078	101.82481894469876	2	32	18	4.242640687119285	0	70.11861420852406	2	63	50	7.0710678118654755	0	126.53102368087346	2	1	0	0	1	1	2	1	0	0	1	1	2
matrix-lat0-3ag-1024b	matrix	slim-group-session	3	20	1024	0	2	2	137.5	24.5	4.949747468305833	93.02828342338853	181.9717165766114	2	26.5	0.5	0.7071067811865476	20.146897631912648	32.85310236808735	2	48	8	2.8284271247461903	22.58759052765059	73.41240947234938	2	21.5	0.5	0.7071067811865476	15.146897631912648	27.853102368087345	2	44	200	14.142135623730951	0	171.06204736174692	2
matrix-lat0-3ag-4096b	matrix	p2p-relay-stream	3	20	4096	0	2	2	66	0	0	66	66	2	41.5	0.5	0.7071067811865476	35.14689763191265	47.85310236808735	2	80	2	1.4142135623730951	67.2937952638253	92.7062047361747	2	1	0	0	1	1	2	2	0	0	2	2	2
matrix-lat0-3ag-4096b	matrix	slim-group-session	3	20	4096	0	2	2	169.5	1012.5	31.81980515339464	0	455.38960656393056	2	33	18	4.242640687119285	0	71.11861420852406	2	61	98	9.899494936611665	0	149.94343315322283	2	30	8	2.8284271247461903	4.58759052765059	55.41240947234938	2	56.5	420.5	20.506096654409877	0	240.739968674533	2
matrix-lat0-3ag-10240b	matrix	p2p-relay-stream	3	20	10240	0	2	2	66.5	0.5	0.7071067811865476	60.14689763191265	72.85310236808735	2	42	0	0	42	42	2	81.5	4.5	2.1213203435596424	62.440692895737946	100.55930710426203	2	1.5	0.5	0.7071067811865476	0	7.853102368087346	2	3	2	1.4142135623730951	0	15.706204736174692	2
matrix-lat0-3ag-10240b	matrix	slim-group-session	3	20	10240	0	2	2	181.5	12.5	3.5355339059327378	149.73448815956323	213.26551184043672	2	33	8	2.8284271247461903	7.58759052765059	58.41240947234938	2	61	18	4.242640687119285	22.881385791475893	99.11861420852406	2	34	2	1.4142135623730951	21.293795263825295	46.70620473617469	2	50	2	1.4142135623730951	37.293795263825295	62.70620473617469	2
matrix-lat0-5ag	matrix	p2p-relay-stream	5	20	0	0	2	2	75	0	0	75	75	2	75	0	0	75	75	2	300	0	0	300	300	2	1	0	0	1	1	2	2	0	0	2	2	2
matrix-lat0-5ag	matrix	slim-group-session	5	20	0	0	2	2	198	0	0	198	198	2	64	8	2.8284271247461903	38.58759052765059	89.41240947234938	2	226	32	5.656854249492381	175.17518105530118	276.8248189446988	2	40	2	1.4142135623730951	27.293795263825295	52.70620473617469	2	59.5	12.5	3.5355339059327378	27.734488159563238	91.26551184043673	2
