scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat25-20ag-4096b	matrix	p2p-relay-stream	1	20	20	4096	25	4778	200	8866	6797	2671	4984	9332	843794	53832	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	slim-group-session	1	20	20	4096	25	274	4	210	3637	63	125	372	0	210	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	p2p-relay-stream	2	20	20	4096	25	3471	200	8252	6209	2385	4300	6754	847246	47690	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	slim-group-session	2	20	20	4096	25	330	5	233	4030	69	121	451	0	233	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	p2p-relay-stream	3	20	20	4096	25	5692	200	11598	6116	2914	5185	10336	978162	61107	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	slim-group-session	3	20	20	4096	25	333	4	253	4432	66	115	404	0	253	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	p2p-relay-stream	4	20	20	4096	25	4704	200	9083	7257	2853	4917	8662	1014280	57402	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	slim-group-session	4	20	20	4096	25	287	4	222	3808	61	123	325	0	222	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	p2p-relay-stream	5	20	20	4096	25	4796	200	8238	8390	2858	4845	7915	1038855	53876	5	5	0	true	
matrix-lat25-20ag-4096b	matrix	slim-group-session	5	20	20	4096	25	366	5	253	4595	71	130	542	0	253	5	5	0	true	
