scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat50-3ag	matrix	p2p-relay-stream	1	3	20	0	50	137	7	65	68	53	72	181	3300	132	5	5	0	true	
matrix-lat50-3ag	matrix	slim-group-session	1	3	20	0	50	174	3	29	47	61	91	232	0	29	5	5	0	true	
matrix-lat50-3ag	matrix	p2p-relay-stream	2	3	20	0	50	103	5	60	44	38	52	139	3003	120	5	5	0	true	
matrix-lat50-3ag	matrix	slim-group-session	2	3	20	0	50	190	3	31	50	50	84	218	0	31	5	5	0	true	
matrix-lat50-3ag	matrix	p2p-relay-stream	3	3	20	0	50	116	5	61	54	44	64	139	3053	122	5	5	0	true	
matrix-lat50-3ag	matrix	slim-group-session	3	3	20	0	50	166	3	28	46	52	76	228	0	28	5	5	0	true	
matrix-lat50-3ag	matrix	p2p-relay-stream	4	3	20	0	50	129	5	63	64	50	65	139	3155	126	5	5	0	true	
matrix-lat50-3ag	matrix	slim-group-session	4	3	20	0	50	158	3	30	47	50	70	192	0	30	5	5	0	true	
matrix-lat50-3ag	matrix	p2p-relay-stream	5	3	20	0	50	130	5	63	61	49	65	140	3153	126	5	5	0	true	
matrix-lat50-3ag	matrix	slim-group-session	5	3	20	0	50	207	3	34	54	53	67	270	0	34	5	5	0	true	
